Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-04-29,12.56,12.81,12.42,12.55,3666300,0.0,0.0,,
2024-04-30,12.39,12.6,12.24,12.53,2748700,0.0,0.0,,
2024-05-01,12.42,13.16,12.19,12.51,4813200,0.0,0.0,,
2024-05-02,12.49,12.49,11.65,12.24,6123300,0.0,0.0,,
2024-05-03,12.21,12.37,11.2,11.26,12039600,0.0,0.0,,
2024-05-06,11.8,11.9,11.45,11.65,18676000,0.0,0.0,,
2024-05-07,13.64,13.64,12.07,12.35,25707800,0.0,0.0,,
2024-05-08,12.08,12.16,11.64,12.15,12703600,0.0,0.0,,
2024-05-09,12.27,13.01,12.22,12.92,10467600,0.0,0.0,,
2024-05-10,12.88,12.97,12.17,12.29,7000500,0.0,0.0,,
2024-05-13,12.33,12.98,12.07,12.89,7092400,0.0,0.0,,
2024-05-14,13.25,13.86,13.12,13.74,8719100,0.0,0.0,,
2024-05-15,14.0,14.07,13.5,13.84,5397200,0.0,0.0,,
2024-05-16,13.83,14.11,13.6,14.04,3391800,0.0,0.0,,
2024-05-17,14.12,14.67,14.0,14.57,5436800,0.0,0.0,,
2024-05-20,15.95,20.11,15.85,18.6,70740900,0.0,0.0,,
2024-05-21,18.18,18.6,17.35,17.56,21745800,0.0,0.0,,
2024-05-22,17.11,17.42,16.06,16.17,16267100,0.0,0.0,,
2024-05-23,16.73,16.74,15.66,15.83,11200600,0.0,0.0,,
2024-05-24,16.12,16.98,16.02,16.88,9963200,0.0,0.0,,
2024-05-28,17.3,19.15,17.24,19.1,21134200,0.0,0.0,,
2024-05-29,18.67,19.59,18.48,19.58,12412500,0.0,0.0,,
2024-05-30,19.73,21.44,19.5,20.37,19129100,0.0,0.0,,
2024-05-31,20.11,20.38,18.89,19.42,15992200,0.0,0.0,,
2024-06-03,19.98,21.17,19.7,20.49,12901000,0.0,0.0,,
2024-06-04,20.15,20.87,19.41,20.83,7911100,0.0,0.0,,
2024-06-05,21.03,21.75,20.55,21.75,10205100,0.0,0.0,,
2024-06-06,21.5,21.73,20.83,21.57,6835300,0.0,0.0,,
2024-06-07,21.31,21.95,20.7,20.79,9721500,0.0,0.0,,
2024-06-10,20.68,22.1,20.6,21.62,8403900,0.0,0.0,,
2024-06-11,21.47,22.13,21.06,22.04,7589300,0.0,0.0,,
2024-06-12,22.75,24.35,22.67,23.68,14705300,0.0,0.0,,
2024-06-13,23.7,24.56,23.24,24.37,9570100,0.0,0.0,,
2024-06-14,24.15,24.43,23.52,23.75,7955500,0.0,0.0,,
2024-06-17,24.17,25.5,23.21,24.15,14548500,0.0,0.0,,
2024-06-18,23.59,25.74,23.53,24.79,11898400,0.0,0.0,,
2024-06-20,24.5,24.55,21.92,22.39,15374500,0.0,0.0,,
2024-06-21,22.5,22.52,20.92,22.15,11832600,0.0,0.0,,
2024-06-24,22.02,22.88,21.8,22.15,9566900,0.0,0.0,,
2024-06-25,22.18,23.47,22.16,23.16,8502600,0.0,0.0,,
2024-06-26,22.82,23.06,20.96,21.56,11273500,0.0,0.0,,
2024-06-27,19.45,20.68,18.8,20.02,25638900,0.0,0.0,,
2024-06-28,20.2,20.45,19.47,20.19,20714300,0.0,0.0,,
2024-07-01,20.4,21.48,20.19,21.42,8701600,0.0,0.0,,
2024-07-02,21.29,21.97,20.53,21.21,5375100,0.0,0.0,,
2024-07-03,21.27,21.3,20.41,20.49,3818100,0.0,0.0,,
2024-07-05,20.49,20.78,20.02,20.78,4081300,0.0,0.0,,
2024-07-08,20.88,21.42,20.48,20.51,5418000,0.0,0.0,,
2024-07-09,20.4,20.76,19.92,20.69,5037400,0.0,0.0,,
2024-07-10,21.21,21.32,19.83,20.21,5331400,0.0,0.0,18.436,
2024-07-11,20.93,21.36,20.62,21.05,6380300,0.0,0.0,18.606,
2024-07-12,21.15,22.57,21.1,21.72,8662200,0.0,0.0,18.7898,
