Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-04-22,397.05,399.8,392.75,397.92,20286900,0.0,0.0,,
2024-04-23,401.18,405.11,400.01,404.48,15734500,0.0,0.0,,
2024-04-24,406.46,409.34,403.7,405.96,15065300,0.0,0.0,,
2024-04-25,391.04,396.86,385.09,396.02,40586500,0.0,0.0,,
2024-04-26,409.05,409.87,402.69,403.24,29694700,0.0,0.0,,
2024-04-29,402.18,403.24,396.17,399.2,19582100,0.0,0.0,,
2024-04-30,398.45,399.11,386.22,386.38,28781400,0.0,0.0,,
2024-05-01,389.64,398.68,387.35,391.95,23562500,0.0,0.0,,
2024-05-02,394.65,396.9,391.66,394.83,17709400,0.0,0.0,,
2024-05-03,399.23,404.07,398.82,403.58,17446700,0.0,0.0,,
2024-05-06,405.66,410.79,403.29,410.41,16996600,0.0,0.0,,
2024-05-07,411.52,411.53,405.99,406.24,20018200,0.0,0.0,,
2024-05-08,405.08,409.11,403.63,407.43,11792300,0.0,0.0,,
2024-05-09,407.46,409.59,406.0,409.2,14689700,0.0,0.0,,
2024-05-10,409.81,412.23,408.68,411.6,13402300,0.0,0.0,,
2024-05-13,414.84,415.18,407.71,410.59,15440200,0.0,0.0,,
2024-05-14,408.9,414.33,408.43,413.4,15109300,0.0,0.0,,
2024-05-15,415.48,421.36,414.86,420.63,22239500,0.75,0.0,,
2024-05-16,419.36,422.96,417.92,418.55,17530100,0.0,0.0,,
2024-05-17,420.09,420.47,415.61,417.78,15352200,0.0,0.0,,
2024-05-20,417.78,424.3,417.56,422.88,16272100,0.0,0.0,,
2024-05-21,424.36,430.46,422.39,426.56,21453300,0.0,0.0,,
2024-05-22,427.6,429.91,424.66,428.03,18073700,0.0,0.0,,
2024-05-23,430.46,431.09,422.96,424.53,17211700,0.0,0.0,,
2024-05-24,424.72,428.57,421.95,427.67,11845800,0.0,0.0,,
2024-05-28,427.14,428.33,424.13,427.83,15718000,0.0,0.0,,
2024-05-29,423.23,428.45,423.23,426.69,15517100,0.0,0.0,,
2024-05-30,421.84,421.84,411.84,412.27,28424800,0.0,0.0,,
2024-05-31,414.34,414.34,402.17,412.73,47995300,0.0,0.0,,
2024-06-03,413.13,414.02,406.55,411.13,17484700,0.0,0.0,,
2024-06-04,410.04,414.03,407.31,413.66,14348900,0.0,0.0,,
2024-06-05,415.39,421.63,413.89,421.56,16988000,0.0,0.0,,
2024-06-06,421.56,422.85,418.15,422.06,14861300,0.0,0.0,,
2024-06-07,423.73,423.81,420.55,421.4,13621700,0.0,0.0,,
2024-06-10,422.24,425.6,421.44,425.39,14003000,0.0,0.0,,
2024-06-11,423.02,430.32,422.79,430.18,14551100,0.0,0.0,,
2024-06-12,432.8,440.83,430.74,438.51,22366200,0.0,0.0,,
2024-06-13,438.3,440.82,436.83,439.02,15960600,0.0,0.0,,
2024-06-14,435.74,440.58,434.19,440.01,13582000,0.0,0.0,,
2024-06-17,440.03,448.33,438.17,445.78,20790000,0.0,0.0,,
2024-06-18,447.11,447.54,442.32,443.76,17112500,0.0,0.0,,
2024-06-20,443.72,443.95,438.72,443.12,19877400,0.0,0.0,,
2024-06-21,444.79,447.97,443.93,447.18,34486200,0.0,0.0,,
2024-06-24,447.2,450.13,443.83,445.08,15913700,0.0,0.0,,
2024-06-25,445.66,448.81,444.16,448.34,16747500,0.0,0.0,,
2024-06-26,446.4,450.98,445.6,449.54,16507000,0.0,0.0,,
2024-06-27,449.56,453.53,449.16,450.23,14806300,0.0,0.0,,
2024-06-28,450.45,452.74,443.83,444.36,28362300,0.0,0.0,,
2024-07-01,446.06,454.72,443.08,454.09,17662800,0.0,0.0,,
2024-07-02,450.58,456.93,450.49,456.62,13979800,0.0,0.0,422.19199999999995,
2024-07-03,455.54,458.35,455.23,458.1,9932800,0.0,0.0,423.39560000000006,
2024-07-05,456.95,465.64,456.31,464.85,16000300,0.0,0.0,424.60299999999995,
2024-07-08,463.85,464.99,461.77,463.54,12962300,0.0,0.0,425.7546,
2024-07-09,464.3,464.63,455.35,456.88,17207200,0.0,0.0,426.97180000000003,
2024-07-10,458.55,463.76,456.2,463.55,18196100,0.0,0.0,428.17800000000005,
2024-07-11,460.3,462.09,448.94,452.07,23111200,0.0,0.0,429.2354,
2024-07-12,451.7,453.72,448.04,450.93,16324300,0.0,0.0,430.52639999999997,
2024-07-15,450.68,454.61,448.82,451.33,14429400,0.0,0.0,431.71399999999994,
2024-07-16,451.59,451.67,444.08,446.92,17175700,0.0,0.0,432.7558,
2024-07-17,440.03,442.28,436.64,440.95,21778000,0.0,0.0,433.5032,
2024-07-18,441.77,442.08,431.89,437.82,20794800,0.0,0.0,434.0514,
2024-07-19,430.59,438.59,429.5,434.58,20940400,0.0,0.0,434.6182,
2024-07-22,439.23,442.03,436.37,440.38,15808800,0.0,0.0,435.2772,
2024-07-23,441.33,445.8,440.54,442.28,13107100,0.0,0.0,435.93879999999996,
2024-07-24,437.9,438.93,425.12,426.42,26805800,0.0,0.0,436.2352,
2024-07-25,426.32,427.31,415.09,415.98,29943800,0.0,0.0,436.343,
2024-07-26,415.78,426.44,414.86,422.81,23583800,0.0,0.0,436.5312,
2024-07-29,429.08,429.65,422.24,424.26,15125800,0.0,0.0,436.6038,
2024-07-30,425.24,426.57,414.94,420.47,32687600,0.0,0.0,436.6422,
2024-07-31,418.07,419.34,409.82,415.93,42891400,0.0,0.0,436.6052,
2024-08-01,418.35,424.99,410.7,414.7,30296400,0.0,0.0,436.44159999999994,
2024-08-02,410.1,412.6,402.0,406.13,29437900,0.0,0.0,436.03299999999996,
2024-08-05,386.92,398.72,383.35,392.86,40709200,0.0,0.0,435.32959999999997,
2024-08-06,397.69,403.32,396.19,397.3,24946500,0.0,0.0,434.785,
2024-08-07,406.28,407.71,395.17,396.12,20650900,0.0,0.0,434.15399999999994,
2024-08-08,400.11,403.51,397.63,400.36,20203000,0.0,0.0,433.6046,
2024-08-09,401.69,405.69,399.93,403.67,19276700,0.0,0.0,433.14420000000007,
2024-08-12,404.7,406.39,401.9,404.46,16762900,0.0,0.0,432.98800000000006,
2024-08-13,407.22,412.55,407.2,411.61,19414300,0.0,0.0,432.96560000000005,
2024-08-14,412.4,415.3,410.06,414.45,18267000,0.0,0.0,433.03200000000004,
2024-08-15,418.12,419.43,415.99,419.35,20752100,0.75,0.0,433.1458,
2024-08-16,418.92,419.66,415.63,416.8,22775600,0.0,0.0,433.0506,
2024-08-19,417.29,420.07,414.8,419.85,15234000,0.0,0.0,433.0064,
2024-08-20,420.02,424.16,419.96,423.1,16387600,0.0,0.0,433.04040000000003,
2024-08-21,422.39,424.7,420.04,422.45,16067300,0.0,0.0,432.9816,
2024-08-22,422.66,425.09,412.95,413.89,19361900,0.0,0.0,432.6558,
2024-08-23,415.31,417.59,410.44,415.13,18493800,0.0,0.0,432.1882,
2024-08-26,414.71,415.61,409.7,411.84,13152800,0.0,0.0,431.64459999999997,
2024-08-27,411.21,412.7,408.61,412.19,13492900,0.0,0.0,431.0882,
2024-08-28,413.22,413.34,405.68,408.96,14882700,0.0,0.0,430.3518,
2024-08-29,413.28,420.36,408.96,411.47,17045200,0.0,0.0,429.70599999999996,
2024-08-30,413.94,415.82,410.48,415.47,24308300,0.0,0.0,429.153,
2024-09-03,416.24,418.2,405.4,407.8,20313600,0.0,0.0,428.3654,
2024-09-04,404.29,409.6,402.75,407.27,15135800,0.0,0.0,427.60920000000004,
2024-09-05,405.99,411.45,404.51,406.76,14195500,0.0,0.0,426.7776,
2024-09-06,407.43,409.01,399.2,400.1,19609500,0.0,0.0,425.78880000000004,
2024-09-09,405.61,407.02,400.54,404.1,15295100,0.0,0.0,424.86620000000005,
2024-09-10,406.57,414.67,406.07,412.55,19594300,0.0,0.0,424.23,
2024-09-11,413.84,422.3,407.94,421.35,19266900,0.0,0.0,423.57520000000005,
2024-09-12,421.62,425.66,418.07,425.29,17418800,0.0,0.0,422.9486,
2024-09-13,424.13,430.1,423.76,428.87,15874600,0.0,0.0,422.36400000000003,
2024-09-16,428.88,431.8,426.51,429.62,13834700,0.0,0.0,421.6594,
2024-09-17,438.47,440.08,430.54,433.41,18874200,0.0,0.0,421.0568,
2024-09-18,433.26,434.29,428.69,429.09,18898000,0.0,0.0,420.501,
2024-09-19,439.47,439.74,435.15,436.94,21706600,0.0,0.0,419.9688,
2024-09-20,435.47,437.49,432.49,433.53,55167100,0.0,0.0,419.598,
2024-09-23,432.55,434.72,428.67,431.78,15128900,0.0,0.0,419.215,
2024-09-24,431.27,431.62,424.4,427.46,17015800,0.0,0.0,418.73760000000004,
2024-09-25,428.11,431.39,426.86,430.38,13396400,0.0,0.0,418.4068,
2024-09-26,433.35,433.56,427.42,429.59,14492000,0.0,0.0,418.1796,
2024-09-27,429.8,430.12,425.76,426.31,14896100,0.0,0.0,417.94939999999997,
2024-09-30,426.5,428.7,423.67,428.58,16807300,0.0,0.0,417.8294,
2024-10-01,426.74,426.77,417.14,419.01,19092900,0.0,0.0,417.402,
2024-10-02,420.89,421.13,415.05,415.46,16582300,0.0,0.0,416.86560000000003,
2024-10-03,415.96,417.87,412.64,414.88,13686400,0.0,0.0,416.6348,
2024-10-04,416.57,418.07,413.31,414.4,19169700,0.0,0.0,416.6032,
2024-10-07,414.34,415.44,407.37,407.9,20919800,0.0,0.0,416.305,
2024-10-08,409.26,414.0,406.54,413.05,19229300,0.0,0.0,416.0808,
2024-10-09,414.2,418.7,412.64,415.79,14974300,0.0,0.0,415.9871999999999,
2024-10-10,413.57,415.68,411.5,414.18,13848400,0.0,0.0,415.95219999999995,
2024-10-11,414.48,415.46,411.6,414.66,14144900,0.0,0.0,415.9514,
2024-10-14,416.1,422.35,415.85,417.47,16653100,0.0,0.0,416.1782,
2024-10-15,420.49,420.79,413.6,417.07,18900200,0.0,0.0,416.6624,
2024-10-16,413.51,414.7,408.84,414.46,15508900,0.0,0.0,417.00559999999996,
2024-10-17,420.67,420.81,413.93,415.06,14820000,0.0,0.0,417.3844,
2024-10-18,415.47,417.97,414.6,416.49,17145300,0.0,0.0,417.70700000000005,
2024-10-21,414.46,417.29,412.1,417.11,14206100,0.0,0.0,417.9758,
2024-10-22,416.82,428.86,416.37,425.8,25482200,0.0,0.0,418.4026,
2024-10-23,429.14,429.36,420.84,422.9,19654400,0.0,0.0,418.62839999999994,
2024-10-24,423.63,424.28,420.71,423.03,13581600,0.0,0.0,418.8,
2024-10-25,425.06,430.79,424.87,426.44,16899100,0.0,0.0,418.9418,
2024-10-28,429.94,430.21,424.6,424.89,14882400,0.0,0.0,419.10360000000003,
2024-10-29,426.29,431.44,424.1,430.22,17644100,0.0,0.0,419.311,
2024-10-30,435.69,436.75,430.37,430.8,29749100,0.0,0.0,419.465,
2024-10-31,413.7,414.5,404.68,404.73,53971000,0.0,0.0,419.1106,
