Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-04-22,92.9,93.32,92.13,92.46,8642000,0.0,0.0,,
2024-04-23,92.64,92.98,92.19,92.3,6582700,0.0,0.0,,
2024-04-24,92.38,93.45,92.38,92.91,6493200,0.0,0.0,,
2024-04-25,92.28,93.05,90.75,92.22,5317900,0.0,0.0,,
2024-04-26,92.86,93.67,92.19,92.4,6115700,0.0,0.0,,
2024-04-29,92.71,93.15,91.98,92.34,5030700,0.0,0.0,,
2024-04-30,91.21,91.8,90.56,90.57,6493300,0.0,0.0,,
2024-05-01,90.13,90.19,88.44,88.68,9783100,0.0,0.0,,
2024-05-02,89.66,90.76,89.24,90.72,7333300,0.0,0.0,,
2024-05-03,91.38,91.93,90.19,90.46,5736700,0.0,0.0,,
2024-05-06,91.11,91.66,90.79,91.65,6696300,0.0,0.0,,
2024-05-07,92.36,92.59,91.5,92.06,7113500,0.0,0.0,,
2024-05-08,91.41,91.92,91.03,91.88,5372900,0.0,0.0,,
2024-05-09,91.92,92.26,91.31,91.68,6429800,0.0,0.0,,
2024-05-10,91.36,91.43,89.22,89.27,10548400,0.0,0.0,,
2024-05-13,89.6,91.07,89.48,91.02,8792100,0.0,0.0,,
2024-05-14,91.29,92.61,90.9,91.09,7811000,0.0,0.0,,
2024-05-15,90.6,90.92,89.19,89.99,15614400,0.0,0.0,,
2024-05-16,90.01,91.14,89.85,90.09,12711700,0.0,0.0,,
2024-05-17,90.32,90.6,89.67,90.49,12019600,0.0,0.0,,
2024-05-20,90.56,91.0,89.17,90.09,9701500,0.0,0.0,,
2024-05-21,89.89,91.15,89.77,91.12,7809700,0.0,0.0,,
2024-05-22,90.27,91.06,89.97,90.81,7611900,0.0,0.0,,
2024-05-23,90.76,90.88,89.48,89.73,7729000,0.0,0.0,,
2024-05-24,90.09,90.51,89.81,90.07,6936800,0.0,0.0,,
2024-05-28,90.06,90.82,89.68,90.31,10835000,0.0,0.0,,
2024-05-29,90.0,91.02,89.71,89.99,7237300,0.0,0.0,,
2024-05-30,90.54,92.16,90.28,91.74,9310000,0.0,0.0,,
2024-05-31,91.79,93.33,91.27,93.31,12565600,0.0,0.0,,
2024-06-03,93.15,93.87,92.69,93.03,9668100,0.37,0.0,,
2024-06-04,92.92,93.73,92.06,93.37,7838400,0.0,0.0,,
2024-06-05,93.94,93.94,92.34,92.95,7463300,0.0,0.0,,
2024-06-06,93.49,95.4,92.63,94.33,9760100,0.0,0.0,,
2024-06-07,94.01,96.52,93.92,95.15,9397400,0.0,0.0,,
2024-06-10,94.34,95.59,94.22,94.61,7035600,0.0,0.0,,
2024-06-11,94.14,94.61,93.15,94.48,7301500,0.0,0.0,,
2024-06-12,94.95,95.1,92.15,92.32,9861300,0.0,0.0,,
2024-06-13,92.68,93.16,92.36,92.82,8348200,0.0,0.0,,
2024-06-14,92.44,93.41,91.95,92.04,7426800,0.0,0.0,,
2024-06-17,90.68,93.74,90.68,93.62,6365400,0.0,0.0,,
2024-06-18,93.3,93.88,92.85,93.41,6712000,0.0,0.0,,
2024-06-20,92.52,94.7,92.17,94.19,9393800,0.0,0.0,,
2024-06-21,94.57,95.8,94.04,95.77,15569900,0.0,0.0,,
2024-06-24,95.89,96.62,95.28,95.76,9466900,0.0,0.0,,
2024-06-25,95.9,96.23,93.13,93.38,9036200,0.0,0.0,,
2024-06-26,92.73,93.11,91.8,92.7,10160400,0.0,0.0,,
2024-06-27,92.41,93.37,92.04,92.83,25772700,0.0,0.0,,
2024-06-28,76.01,77.91,73.47,74.28,129967000,0.0,0.0,,
2024-07-01,74.41,75.94,73.21,75.72,44369000,0.0,0.0,,
2024-07-02,75.71,75.83,74.3,74.94,26183400,0.0,0.0,91.06299999999999,
2024-07-03,74.41,74.82,73.93,74.15,15952000,0.0,0.0,90.6968,
2024-07-05,74.27,74.99,73.7,74.34,19603700,0.0,0.0,90.33760000000001,
2024-07-08,74.32,74.4,71.94,71.99,29905000,0.0,0.0,89.9192,
2024-07-09,72.24,73.07,71.33,71.41,23445500,0.0,0.0,89.50299999999999,
2024-07-10,71.21,71.59,70.63,71.49,21378200,0.0,0.0,89.0848,
2024-07-11,71.65,72.68,71.24,72.33,15876700,0.0,0.0,88.68459999999999,
2024-07-12,72.5,72.98,72.11,72.36,14527500,0.0,0.0,88.3204,
2024-07-15,71.94,71.95,70.21,70.28,20775800,0.0,0.0,87.9524,
2024-07-16,70.47,71.9,70.47,71.76,20980700,0.0,0.0,87.5732,
2024-07-17,71.48,72.28,71.45,72.01,11161600,0.0,0.0,87.2042,
2024-07-18,71.91,72.86,71.3,71.33,14440100,0.0,0.0,86.79780000000001,
2024-07-19,71.25,71.77,70.81,71.65,11913300,0.0,0.0,86.38959999999999,
2024-07-22,72.06,74.25,72.01,73.78,19385500,0.0,0.0,86.0276,
2024-07-23,73.55,73.95,72.18,72.34,11041800,0.0,0.0,85.6408,
2024-07-24,72.19,72.33,70.05,70.06,18563300,0.0,0.0,85.25659999999999,
2024-07-25,70.49,71.38,69.88,70.38,13855400,0.0,0.0,84.84380000000002,
2024-07-26,70.96,71.73,70.83,71.51,8892000,0.0,0.0,84.45219999999999,
2024-07-29,71.45,72.8,71.15,72.48,10471800,0.0,0.0,84.102,
2024-07-30,72.62,73.41,72.4,73.24,8515700,0.0,0.0,83.765,
2024-07-31,73.42,74.34,72.85,73.78,14632900,0.0,0.0,83.4308,
2024-08-01,73.62,73.71,72.2,72.78,9563500,0.0,0.0,83.08460000000001,
2024-08-02,71.78,73.06,70.88,72.94,11526600,0.0,0.0,82.721,
2024-08-05,70.03,71.57,69.73,70.39,13191500,0.0,0.0,82.3126,
2024-08-06,70.62,72.18,70.47,71.45,13469700,0.0,0.0,81.94699999999999,
2024-08-07,71.82,73.14,71.48,71.57,9571200,0.0,0.0,81.577,
2024-08-08,72.17,73.14,71.99,73.12,8828000,0.0,0.0,81.23320000000001,
2024-08-09,73.05,73.5,72.31,73.26,7186600,0.0,0.0,80.8986,
2024-08-12,73.63,73.91,72.98,73.56,7067300,0.0,0.0,80.535,
2024-08-13,74.16,77.91,73.98,77.36,22114800,0.0,0.0,80.21600000000001,
2024-08-14,76.87,77.94,76.3,77.38,13613000,0.0,0.0,79.903,
2024-08-15,80.91,81.86,79.5,81.31,23583600,0.0,0.0,79.6618,
2024-08-16,81.68,82.72,81.25,82.02,13794200,0.0,0.0,79.44319999999999,
2024-08-19,82.02,82.77,81.72,82.07,9627300,0.0,0.0,79.19800000000001,
2024-08-20,82.28,82.68,81.57,82.35,7863100,0.0,0.0,78.942,
2024-08-21,82.46,83.02,82.01,82.78,6915900,0.0,0.0,78.7054,
2024-08-22,83.23,83.45,82.0,82.2,8485500,0.0,0.0,78.4598,
2024-08-23,82.13,83.02,82.01,82.83,9219700,0.0,0.0,78.27,
2024-08-26,82.26,83.29,82.17,83.06,7853300,0.0,0.0,78.07480000000001,
2024-08-27,82.85,84.15,82.4,84.05,14954000,0.0,0.0,77.915,
2024-08-28,83.82,84.19,80.69,81.59,11088600,0.0,0.0,77.67439999999999,
2024-08-29,82.24,82.67,81.66,82.05,7477200,0.0,0.0,77.44720000000001,
2024-08-30,82.39,82.67,80.86,82.11,13755300,0.0,0.0,77.2056,
2024-09-03,81.88,82.1,80.19,80.5,10133700,0.37,0.0,76.9002,
2024-09-04,79.29,80.27,78.87,80.2,12837400,0.0,0.0,76.589,
2024-09-05,80.31,80.42,79.4,80.01,7596300,0.0,0.0,76.3216,
2024-09-06,80.06,81.05,79.54,79.82,8512200,0.0,0.0,76.064,
2024-09-09,79.94,80.76,78.22,78.69,8003300,0.0,0.0,75.7812,
2024-09-10,78.76,78.76,76.77,77.3,9748400,0.0,0.0,75.84160000000001,
2024-09-11,77.21,77.8,75.97,77.61,8265500,0.0,0.0,75.87939999999999,
2024-09-12,77.44,78.27,76.75,77.61,7186100,0.0,0.0,75.9328,
2024-09-13,77.51,78.69,77.32,78.21,5814200,0.0,0.0,76.014,
2024-09-16,78.53,79.18,77.9,78.99,9547700,0.0,0.0,76.107,
2024-09-17,79.2,80.16,79.05,79.83,7580600,0.0,0.0,76.2638,
