Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-04-22,140.56,144.44,138.8,142.05,107097600,0.0,0.0,,
2024-04-23,143.33,147.26,141.11,144.68,124545100,0.0,0.0,,
2024-04-24,162.84,167.97,157.51,162.13,181178000,0.0,0.0,,
2024-04-25,158.96,170.88,158.36,170.18,126427500,0.0,0.0,,
2024-04-26,168.85,172.12,166.37,168.29,109815700,0.0,0.0,,
2024-04-29,188.42,198.87,184.54,194.05,243869700,0.0,0.0,,
2024-04-30,186.98,190.95,182.84,183.28,127031800,0.0,0.0,,
2024-05-01,182.0,185.86,179.01,179.99,92829700,0.0,0.0,,
2024-05-02,182.86,184.6,176.02,180.01,89148000,0.0,0.0,,
2024-05-03,182.1,184.78,178.42,181.19,75491500,0.0,0.0,,
2024-05-06,183.8,187.56,182.2,184.76,84390300,0.0,0.0,,
2024-05-07,182.4,183.26,177.4,177.81,75045900,0.0,0.0,,
2024-05-08,171.59,176.06,170.15,174.72,79969500,0.0,0.0,,
2024-05-09,175.01,175.62,171.37,171.97,65950300,0.0,0.0,,
2024-05-10,173.05,173.06,167.75,168.47,72627200,0.0,0.0,,
2024-05-13,170.0,175.4,169.0,171.89,67018900,0.0,0.0,,
2024-05-14,174.5,179.49,174.07,177.55,86407400,0.0,0.0,,
2024-05-15,179.9,180.0,173.11,173.99,79663000,0.0,0.0,,
2024-05-16,174.1,175.79,171.43,174.84,59812200,0.0,0.0,,
2024-05-17,173.55,179.63,172.75,177.46,77445800,0.0,0.0,,
2024-05-20,177.56,177.75,173.52,174.95,61727400,0.0,0.0,,
2024-05-21,175.51,186.88,174.71,186.6,115266500,0.0,0.0,,
2024-05-22,182.85,183.8,178.12,180.11,88313500,0.0,0.0,,
2024-05-23,181.8,181.9,173.26,173.74,71975500,0.0,0.0,,
2024-05-24,174.84,180.08,173.73,179.24,65479700,0.0,0.0,,
2024-05-28,176.4,178.25,173.16,176.75,59736600,0.0,0.0,,
2024-05-29,174.19,178.15,173.93,176.19,54782600,0.0,0.0,,
2024-05-30,178.58,182.67,175.38,178.79,77784800,0.0,0.0,,
2024-05-31,178.5,180.32,173.82,178.08,67314600,0.0,0.0,,
2024-06-03,178.13,182.64,174.49,176.29,68568900,0.0,0.0,,
2024-06-04,174.78,177.76,174.0,174.77,60056300,0.0,0.0,,
2024-06-05,175.35,176.15,172.13,175.0,57953800,0.0,0.0,,
2024-06-06,174.6,179.73,172.73,177.94,69887000,0.0,0.0,,
2024-06-07,176.13,179.35,175.58,177.48,56244900,0.0,0.0,,
2024-06-10,176.06,178.57,173.17,173.79,50869700,0.0,0.0,,
2024-06-11,173.92,174.75,167.41,170.66,64761900,0.0,0.0,,
2024-06-12,171.12,180.55,169.8,177.29,90389400,0.0,0.0,,
2024-06-13,188.39,191.08,181.23,182.47,118984100,0.0,0.0,,
2024-06-14,185.8,186.0,176.92,178.01,82038200,0.0,0.0,,
2024-06-17,177.92,188.81,177.0,187.44,109786100,0.0,0.0,,
2024-06-18,186.56,187.2,182.37,184.86,68982300,0.0,0.0,,
2024-06-20,184.68,185.21,179.66,181.57,55893100,0.0,0.0,,
2024-06-21,182.3,183.95,180.69,183.01,63029500,0.0,0.0,,
2024-06-24,184.97,188.8,182.55,182.58,61992100,0.0,0.0,,
2024-06-25,184.4,187.97,182.01,187.35,63678300,0.0,0.0,,
2024-06-26,186.54,197.76,186.36,196.37,95737100,0.0,0.0,,
2024-06-27,195.17,198.72,194.05,197.42,72746500,0.0,0.0,,
2024-06-28,199.55,203.2,195.26,197.88,95438100,0.0,0.0,,
2024-07-01,201.02,213.23,200.85,209.86,135691400,0.0,0.0,,
2024-07-02,218.89,231.3,218.06,231.26,205047900,0.0,0.0,179.3412,
2024-07-03,234.56,248.35,234.25,246.39,166561500,0.0,0.0,181.42800000000003,
2024-07-05,249.81,252.37,242.46,251.52,154501200,0.0,0.0,183.5648,
